size,mode,algo,time_ns_per_iter,cache_misses,cache_refs,iters
1000,seq,fast,1265.20,3948,41989,50000
1000,seq,single,3466.89,3920,42091,50000
1000,shuf,fast,3178.25,3912,30190774,50000
1000,shuf,single,4415.97,4385,35030067,50000
5000,seq,fast,14842.27,6346,81251885,50000
5000,seq,single,28525.22,4253,94208228,50000
5000,shuf,fast,34428.51,7506,614751467,50000
5000,shuf,single,44740.79,6041,632379755,50000
10000,seq,fast,38303.95,4057,17523900,5000
10000,seq,single,36705.28,4488,18812384,5000
10000,shuf,fast,149288.74,14273,135205658,5000
10000,shuf,single,202407.17,7418,137990906,5000
50000,seq,fast,117606.24,2197261,104920600,5000
50000,seq,single,298699.98,16839760,116616672,5000
50000,shuf,fast,3570992.22,333806842,808727705,5000
50000,shuf,single,5079486.47,369481290,819009736,5000
100000,seq,fast,318002.54,11290108,33983922,500
100000,seq,single,416940.33,14321740,35166666,500
100000,shuf,fast,8569561.94,120683135,178399087,500
100000,shuf,single,14748837.45,125963155,179261511,500
500000,seq,fast,1925165.20,88339283,226506672,500
500000,seq,single,2194792.58,94025201,195511310,500
500000,shuf,fast,62645941.42,809446865,1132057876,500
500000,shuf,single,92808867.79,815361496,1135222955,500
1000000,seq,fast,3972233.36,18260852,46971159,50
1000000,seq,single,4402342.78,18812634,39186161,50
1000000,shuf,fast,111368091.18,173002661,251431899,50
1000000,shuf,single,165783069.02,173567869,251590252,50
5000000,seq,fast,25335157.78,93557634,199092856,50
5000000,seq,single,34562958.70,94045751,200434390,50
10000000,seq,fast,40269000.20,37523931,96956837,10
10000000,seq,single,43885581.00,37614581,79165896,10
