size,mode,algo,time_ns_per_iter,cache_misses,cache_refs,iters
1000,seq,fast,6174.94,1896,222123,100
1000,seq,single,9890.36,1896,222168,100
1000,shuf,fast,13604.24,2372,377253,100
1000,shuf,single,13207.34,2372,377240,100
5000,seq,fast,31768.76,133179,894279,100
5000,seq,single,44098.04,130227,894267,100
5000,shuf,fast,69430.72,594612,1669250,100
5000,shuf,single,79670.65,641018,1669268,100
10000,seq,fast,73539.10,36720,223959,10
10000,seq,single,188981.60,41840,224119,10
10000,shuf,fast,139532.40,205619,2280184,10
10000,shuf,single,181147.70,210691,2280198,10
50000,seq,fast,324804.80,196720,904069,10
50000,seq,single,489707.30,201840,904069,10
50000,shuf,fast,834383.20,970006,9454694,10
50000,shuf,single,1087561.10,974762,9454761,10
100000,seq,fast,662571.67,137776,704059,3
100000,seq,single,1095825.00,139312,704098,3
100000,shuf,fast,1941007.67,934304,17805485,3
100000,shuf,single,2448486.67,935954,17805509,3
500000,seq,fast,3298078.33,687776,3304099,3
500000,seq,single,4713983.00,689312,3304063,3
500000,shuf,fast,11316887.00,4774865,88808817,3
500000,shuf,single,14218854.67,4776473,88808865,3
1000000,seq,fast,6204437.00,626292,3554067,1
1000000,seq,single,9393467.00,626804,3554083,1
1000000,shuf,fast,29627748.00,6586868,174560484,1
1000000,shuf,single,40195704.00,6587382,174560479,1
5000000,seq,fast,31136481.00,3126292,17554106,1
5000000,seq,single,47139924.00,3126804,17554123,1
10000000,seq,fast,64020183.00,6251292,35054131,1
10000000,seq,single,91511544.00,6251804,35054133,1
