size,mode,algo,time_ns_per_iter,cache_misses,cache_refs,iters
1000,seq,fast,2544.15,17090,75093317,50000
1000,seq,single,3810.99,7283,75093257,50000
1000,shuf,fast,2558.27,100387,75284394,50000
1000,shuf,single,5838.33,10551810,75284424,50000
5000,seq,fast,16805.61,10412359,375105967,50000
5000,seq,single,21698.38,8481236,375105925,50000
5000,shuf,fast,67325.65,314101667,376060793,50000
5000,shuf,single,92009.94,330586919,376060426,50000
10000,seq,fast,35103.55,1492617,75065424,5000
10000,seq,single,42741.46,1009998,75065424,5000
10000,shuf,fast,139375.30,69187693,77252152,5000
10000,shuf,single,196930.62,71014124,77252075,5000
50000,seq,fast,310447.03,6278933,375146669,5000
50000,seq,single,367533.48,3479747,375145895,5000
50000,shuf,fast,6822639.28,371401855,384748676,5000
50000,shuf,single,9729596.54,373060488,384747052,5000
100000,seq,fast,977009.20,1302021,75241618,500
100000,seq,single,1058735.40,611131,75241288,500
100000,shuf,fast,15064368.26,85758303,94443673,500
100000,shuf,single,22160649.73,85841408,94443859,500
500000,seq,fast,5394408.10,7225923,376045057,500
500000,seq,single,5575879.09,2968143,376042841,500
1000000,seq,fast,11012658.50,1508134,77044858,50
1000000,seq,single,11280563.24,650161,77044437,50
5000000,seq,fast,55349793.50,7251760,385062551,50
5000000,seq,single,56479562.96,3487985,385060161,50
10000000,seq,fast,111955350.50,3136089,170080805,10
10000000,seq,single,113357473.60,1535116,170079883,10
